# step, loss_train, loss_test, metrics_test
7.800000000000000000e+04 1.136366627179086208e-03 1.190777285955846310e-03 5.970924394205212593e-04
7.900000000000000000e+04 8.475568145513534546e-03 8.094868622720241547e-03 1.556794391945004463e-03
8.000000000000000000e+04 4.901605658233165741e-03 4.779290407896041870e-03 1.196211786009371281e-03
8.100000000000000000e+04 1.300396164879202843e-03 1.323567586950957775e-03 6.295054336078464985e-04
8.200000000000000000e+04 3.300707787275314331e-02 3.389208391308784485e-02 3.185484558343887329e-03
8.300000000000000000e+04 3.323022392578423023e-04 3.955692809540778399e-04 3.441419394221156836e-04
8.400000000000000000e+04 3.359468886628746986e-03 3.168226685374975204e-03 9.739449596963822842e-04
8.500000000000000000e+04 2.199562499299645424e-03 2.190995961427688599e-03 8.099293336272239685e-04
8.600000000000000000e+04 5.656273569911718369e-04 6.352975615300238132e-04 4.361289320513606071e-04
8.700000000000000000e+04 1.031830557622015476e-03 1.118630287237465382e-03 5.787215195596218109e-04
8.800000000000000000e+04 1.396159757860004902e-03 1.430039061233401299e-03 6.543352501466870308e-04
8.900000000000000000e+04 4.885707981884479523e-03 5.087428726255893707e-03 1.234171562828123569e-03
9.000000000000000000e+04 1.237847260199487209e-03 1.228623208589851856e-03 6.065068300813436508e-04
9.100000000000000000e+04 2.963919192552566528e-03 2.956212032586336136e-03 9.407931356690824032e-04
9.200000000000000000e+04 4.037878941744565964e-03 3.952976781874895096e-03 1.087898854166269302e-03
9.300000000000000000e+04 1.860719872638583183e-03 1.747389207594096661e-03 7.233045762404799461e-04
9.400000000000000000e+04 1.898588670883327723e-04 2.795522159431129694e-04 2.893062483053654432e-04
9.500000000000000000e+04 6.454557296819984913e-04 6.824372685514390469e-04 4.520200309343636036e-04
9.600000000000000000e+04 2.263002330437302589e-03 2.339346567168831825e-03 8.369000861421227455e-04
9.700000000000000000e+04 6.748181185685098171e-04 7.023793295957148075e-04 4.585770075209438801e-04
9.800000000000000000e+04 4.590568423736840487e-04 5.047671729698777199e-04 3.887513594236224890e-04
9.900000000000000000e+04 8.243386400863528252e-04 8.334142039529979229e-04 4.995245253667235374e-04
1.000000000000000000e+05 3.760473337024450302e-03 3.756457241252064705e-03 1.060511800460517406e-03
